cores, seq, kokkos, oned, span, 
1, 1.0, 1.0, 1.0, 1.0, 
5, 0.9944022155441635, 4.307190533980583, 4.886553412035704, 4.955189051473407, 
11, 0.999940747763228, 7.71968461120174, 9.977072310405644, 10.608558188926969, 
16, 0.9997038090160536, 8.928616352201258, 13.186480186480187, 15.810762202798461, 
22, 0.9994669825288718, 9.770474879559533, 15.193375111906894, 21.689282542188888, 
28, 0.9939922252326541, 9.924152394267738, 16.14747859181732, 27.606770506217813, 
33, 0.9985798816568048, 10.075585521646557, 16.071022727272727, 32.20655041031653, 
39, 0.9937580968083853, 9.78394210889042, 15.890449438202246, 34.35096905282901, 
44, 0.9979303411980368, 9.32140512147078, 16.5732421875, 42.85832683307332, 
50, 0.999940747763228, 9.361358391031981, 16.54093567251462, 47.61211005199307, 
56, 0.994343624793778, 8.782245592329106, 16.5732421875, 54.58954297069051, 
