cores, oned, clps, span, kokkos, 
1, 1.0, 1.0, 1.0, 1.0, 
11, 10.976366322008863, 10.988809766022381, 9.905272181740248, 9.417017691659646, 
22, 21.664723032069972, 21.91075050709939, 18.47242206235012, 14.669291338582678, 
33, 32.0301724137931, 32.43843843843844, 28.31985294117647, 18.66110183639399, 
44, 41.983050847457626, 43.208, 37.39320388349515, 20.81564245810056, 
56, 50.897260273972606, 54.28140703517588, 47.54938271604938, 24.194805194805195, 
67, 59.448, 63.917159763313606, 56.50122249388753, 25.346938775510203, 
78, 61.413223140495866, 72.01333333333334, 61.624, 24.784922394678492, 
89, 69.44859813084112, 80.01481481481481, 64.55027932960894, 23.987124463519315, 
100, 77.40625, 86.416, 62.12096774193548, 22.765784114052952, 
112, 65.76106194690266, 90.01666666666667, 61.624, 21.620889748549324, 
