cores, oned, clps, span, kokkos, sycl, 
1, 1.0, 1.0, 1.0, 1.0, 1.0, 
11, 11.022, 11.034497816593886, 10.718523316062177, 8.10751818916734, 9.885112168592794, 
22, 21.782608695652176, 22.011324041811847, 21.35957666494579, 11.357870894677237, 17.646844660194176, 
33, 32.228070175438596, 33.11795543905636, 31.23707059267648, 15.453004622496147, 25.070689655172412, 
44, 42.72093023255814, 44.09947643979058, 41.229197807673145, 16.0464, 31.406047516198704, 
56, 52.48571428571429, 55.90486725663717, 52.140516698172654, 18.435661764705884, 39.19407008086253, 
67, 61.233333333333334, 66.84920634920636, 59.831525668835866, 19.898809523809526, 41.19263456090651, 
78, 68.8875, 77.75076923076924, 71.58044982698962, 19.97808764940239, 42.14782608695652, 
89, 79.8695652173913, 88.66315789473684, 81.52413793103449, 20.26060606060606, 41.427350427350426, 
100, 86.109375, 99.48425196850394, 91.03080308030803, 19.97808764940239, 40.73109243697479, 
112, 90.34426229508196, 110.82894736842105, 100.9109756097561, 28.171348314606742, 44.332317073170735, 
