cores, oned, clps, span, diy2d, kokkos, 
1, 1.0, 1.4594155844155845, 3.11620670995671, 11.24310064935065, 1.5078463203463204, 
11, 1.0, 1.456973293768546, 3.621661721068249, 11.344213649851632, 1.7967359050445104, 
22, 1.0, 1.4545454545454546, 3.718475073313783, 11.228739002932551, 2.219941348973607, 
33, 1.0, 1.4285714285714286, 3.54978354978355, 11.047619047619047, 2.515151515151515, 
44, 1.0, 1.4285714285714286, 3.577142857142857, 10.96, 2.9657142857142857, 
56, 1.0, 1.3819444444444444, 3.4027777777777777, 10.458333333333334, 3.2569444444444446, 
67, 1.0, 1.3629032258064515, 3.370967741935484, 10.153225806451612, 3.532258064516129, 
78, 1.0, 1.25, 3.125, 9.025, 3.775, 
89, 1.0, 1.276190476190476, 3.4380952380952383, 9.047619047619047, 4.2, 
100, 1.0, 1.3297872340425532, 3.925531914893617, 9.01063829787234, 4.9787234042553195, 
112, 1.0, 1.110091743119266, 3.5688073394495414, 6.963302752293578, 4.559633027522936, 
